租房名称,面积,朝向,户型,楼层比例,位置,小区年代,价格
自如友家·明日新苑·4居室-05卧,4室1厅,朝南,13.08㎡,2/6,小区距丰庄站步行约1012米,板楼,2560
自如友家·北华苑·3居室-02卧,3室1厅,朝南,13.1㎡,4/6,小区距行知路站步行约1025米,2000,2460
自如友家·香楠小区·3居室-01卧,3室1厅,朝南,11㎡,4/6,小区距广兰路站步行约1229米,板楼,2490
自如友家·香楠小区·3居室-01卧,3室1厅,朝南,11㎡,5/6,小区距广兰路站步行约1229米,板楼,2490
自如友家·中关村公寓·3居室-02卧,3室1厅,朝南,12.1㎡,19/24,小区距枫桥路站步行约312米,2005,3090
自如友家·复旦第二宿舍·3居室-02卧,3室1厅,朝南,11.7㎡,6/6,小区距国权路站步行约545米,板楼,2830
自如友家·浦江智汇园·3居室-01卧,3室1厅,朝南,14.9㎡,7/13,小区距联航路站步行约1163米,塔楼,2190
自如友家·白雪公主·3居室-01卧,3室1厅,朝南,13.6㎡,6/6,小区距七莘路站步行约1380米,板楼,2360
自如友家·怡华苑·3居室-01卧,3室1厅,朝南,13.8㎡,1/6,小区距大华三路站步行约503米,1999,2730
自如友家·春申城四季苑·4居室-01卧,4室1厅,朝南,15.21㎡,4/11,小区距莘庄站步行约996米,板楼,2760
自如友家·新华联奥莱悦府·4居室-01卧,4室1厅,朝南,10.7㎡,5/12,小区距嘉松中路站步行约1399米,板楼,2460
自如友家·江虹花园·4居室-06卧,4室1厅,朝南,21.8㎡,4/4,小区距松江新城站步行约1130米,板楼,2330
自如友家·昌四小区·3居室-01卧,3室1厅,朝南,11.8㎡,6/6,小区距东明路站步行约748米,板楼,2830
自如友家·小富人家·3居室-03卧,3室1厅,朝南,12.48㎡,4/6,小区距春申路站步行约522米,未知,2230
自如友家·蓝城小区·3居室-01卧,3室1厅,朝南,11.2㎡,3/6,小区距博兴路站步行约639米,未知,2530
自如友家·爱建新家园·4居室-01卧,4室1厅,朝南,12㎡,5/5,小区距彭浦新村站步行约1106米,未知,2190
自如友家·荷五小区·3居室-03卧,3室1厅,朝南,12.5㎡,3/6,小区距台儿庄路站步行约1270米,板楼,2290
自如友家·界龙阳光苑·3居室-03卧,3室1厅,朝南,23.6㎡,2/4,小区距川沙站步行约1058米,2000,2390
自如友家·龙柏三村·3居室-03卧,3室1厅,朝南,8.6㎡,3/6,小区距龙柏新村站步行约351米,1996,2190
自如友家·文华苑(宝山)·5居室-01卧,5室1厅,朝南,12.8㎡,6/6,小区距大华三路站步行约900米,2000,2360
自如友家·云台二小区·3居室-02卧,3室1厅,朝南,13㎡,23/24,小区距东明路站步行约578米,塔楼,2730
自如友家·昌七小区·2居室-02卧,2室1厅,朝南,12.3㎡,4/6,小区距东明路站步行约551米,板楼,3290
自如友家·岭南苑(凌兆路99弄)·3居室-01卧,3室1厅,朝南,14.7㎡,1/6,小区距凌兆新村站步行约379米,未知,2330
自如友家·樱花园(徐汇)·2居室-01卧,2室1厅,朝南,11.76㎡,6/6,小区距锦江乐园站步行约753米,板楼,3190
自如友家·绿川小区·3居室-01卧,3室1厅,朝南,17.5㎡,4/6,小区距陈春路站步行约969米,板楼,2360
自如友家·蓝色港湾(公寓)·3居室-03卧,3室1厅,朝南,16.2㎡,1/6,小区距顾戴路站步行约816米,板楼,2460
自如友家·金鹏苑·3居室-02卧,3室1厅,朝南,14.1㎡,6/6,小区距金桥路站步行约998米,未知,2330
自如友家·聚龙家园·3居室-03卧,3室1厅,朝南,14㎡,4/6,小区距龙阳路站步行约1714米,2002,2460
自如友家·瑞丰园·4居室-05卧,4室1厅,朝南,16.2㎡,2/5,小区距祁华路站步行约710米,板楼,2160
自如友家·金地格林世界(圣莫尼卡)·4居室-01卧,4室1厅,朝南,13㎡,9/12,小区距南翔站步行约1229米,未知,2390
自如友家·中建锦绣天地·3居室-01卧,3室1厅,朝南,12㎡,6/18,小区距蟠龙路站步行约901米,板楼,2290
自如友家·三花现代城(三期金兰苑)·3居室-03卧,3室1厅,朝南,12.5㎡,6/18,小区距殷高西路站步行约1513米,板楼,2460
自如友家·芳华苑·3居室-02卧,3室1厅,朝南,10㎡,3/6,小区距芳华路站步行约687米,2001,2290
自如友家·静安新城二区·3居室-02卧,3室1厅,朝南,10.86㎡,5/6,小区距东兰路站步行约1204米,1996,2530
自如友家·愉景华庭·4居室-02卧,4室1厅,朝南,14.6㎡,9/11,小区距上海西站站步行约906米,2006,2690
自如友家·金江家园·3居室-01卧,3室1厅,朝南,12.8㎡,2/7,小区距祁连山南路站步行约721米,板楼,2560
自如友家·美岸栖庭(公寓)·5居室-06卧,5室1厅,朝南,14.6㎡,5/5,小区距长江南路站步行约1070米,2013,2630
自如友家·明珠苑(浦东)·4居室-02卧,4室1厅,朝南,13.6㎡,5/6,小区距北洋泾路站步行约549米,2001,2660
自如友家·八方大厦·4居室-02卧,4室1厅,朝南,11.4㎡,17/26,小区距源深体育中心站步行约526米,2001,2790
自如友家·五洲云景花苑·3居室-03卧,3室1厅,朝南,13㎡,8/11,小区距九亭站步行约1963米,2007,2290
自如友家·阳城美景·3居室-03卧,3室1厅,朝南,14.24㎡,5/6,小区距行知路站步行约1101米,板楼,2660
自如友家·阳城花园·4居室-02卧,4室1厅,朝南,9.8㎡,2/6,小区距行知路站步行约351米,板楼,2390
自如友家·龙柏二村·3居室-02卧,3室1厅,朝南,11.8㎡,6/6,小区距龙柏新村站步行约1261米,1996,2390
自如友家·金莲坊·3居室-01卧,3室1厅,朝南,11.48㎡,5/6,小区距祁连山南路站步行约1206米,板楼,2530
自如友家·长风一村小区·3居室-01卧,3室1厅,朝南,14.9㎡,6/6,小区距大渡河路站步行约760米,1980,3090
自如友家·运旺新村阳光世家·4居室-02卧,4室2厅,朝南,18.3㎡,6/6,小区距祁连山南路站步行约1053米,板楼,2530
自如友家·小富人家·3居室-03卧,3室1厅,朝南,12.48㎡,4/6,小区距春申路站步行约522米,未知,2230
自如友家·蓝城小区·3居室-01卧,3室1厅,朝南,11.2㎡,3/6,小区距博兴路站步行约639米,未知,2530
自如友家·爱建新家园·4居室-01卧,4室1厅,朝南,12㎡,5/5,小区距彭浦新村站步行约1106米,未知,2190
自如友家·海院小区·3居室-02卧,3室1厅,朝南,15㎡,6/6,小区距源深体育中心站步行约1292米,1999,2590
